orderId,customerId,productId,productName,orderDate,quantity,price,totalAmount,status,region,rating,reviewCount
ORD501,CUST101,P101,Gaming Laptop,2025-11-01,2,85000,170000,Delivered,South,4.8,520
ORD502,CUST102,P102,Mechanical Keyboard,2025-11-02,5,4500,22500,Delivered,North,4.5,310
ORD503,CUST103,P103,Wireless Mouse,2025-11-03,8,1800,14400,Pending,West,4.3,280
ORD504,CUST104,P104,4K Monitor,2025-11-04,3,28000,84000,Delivered,East,4.7,190
ORD505,CUST105,P105,USB-C Hub,2025-11-05,10,2500,25000,Cancelled,South,4.1,140
ORD506,CUST106,P106,Noise Cancelling Headphones,2025-11-06,4,12000,48000,Delivered,North,4.9,680
ORD507,CUST107,P107,Portable SSD 1TB,2025-11-07,6,9500,57000,Delivered,West,4.6,420
ORD508,CUST108,P108,Webcam HD,2025-11-08,7,3200,22400,Pending,East,4.0,110
ORD509,CUST109,P109,Graphics Tablet,2025-11-09,2,15500,31000,Delivered,South,4.4,260
ORD510,CUST110,P110,Smart Speaker,2025-11-10,9,5500,49500,Delivered,North,4.2,175
ORD511,CUST111,P111,Office Chair,2025-11-11,3,14500,43500,Delivered,West,4.7,390
ORD512,CUST112,P112,Laptop Stand,2025-11-12,12,1800,21600,Cancelled,East,4.1,95
ORD513,CUST113,P113,Wireless Earbuds,2025-11-13,11,6500,71500,Delivered,South,4.8,570
ORD514,CUST114,P114,Power Bank 20000mAh,2025-11-14,14,2200,30800,Pending,North,4.3,240
ORD515,CUST115,P115,Smart Watch Pro,2025-11-15,5,14000,70000,Delivered,West,4.9,730
ORD516,CUST116,P116,Bluetooth Speaker,2025-11-16,8,3800,30400,Delivered,East,4.4,215
ORD517,CUST117,P117,WiFi Router AX3000,2025-11-17,4,7800,31200,Delivered,South,4.6,330
ORD518,CUST118,P118,Action Camera,2025-11-18,3,18500,55500,Pending,North,4.5,270
ORD519,CUST119,P119,Microphone Kit,2025-11-19,6,6200,37200,Delivered,West,4.7,345
ORD520,CUST120,P120,VR Headset,2025-11-20,2,42000,84000,Delivered,East,4.9,610`
